,Close
2016-08-12,79.7
2016-08-15,79.75
2016-08-16,79.37
2016-08-17,80.65
2016-08-18,80.17
2016-08-19,81.07
2016-08-22,81.48
2016-08-23,83.06
2016-08-24,79.14
2016-08-25,75.24
2016-08-26,74.92
2016-08-29,74.2
2016-08-30,75.05
2016-08-31,74.54
2016-09-01,75.59
2016-09-02,72.42
2016-09-06,74.92
2016-09-07,74.55
2016-09-08,74.22
2016-09-09,73.07
2016-09-12,75.46
2016-09-13,74.57
2016-09-14,75.33
2016-09-15,76.27
2016-09-16,76.12
2016-09-19,75.41
2016-09-20,74.1
2016-09-21,74.09
2016-09-22,74.38
2016-09-23,76.31
2016-09-26,71.1
2016-09-27,71.23
2016-09-28,72.47
2016-09-29,68.99
2016-09-30,69.78
2016-10-03,71.17
2016-10-04,70.77
2016-10-05,71.07
2016-10-06,69.48
2016-10-07,69.79
2016-10-10,70.78
2016-10-11,68.16
2016-10-12,66.58
2016-10-13,66.91
2016-10-14,65.82
2016-10-17,64.96
2016-10-18,64.17
2016-10-19,63.87
2016-10-20,63.85
2016-10-21,62.1
2016-10-24,61.67
2016-10-25,63.08
2016-10-26,62.87
2016-10-27,63.04
2016-10-28,61.38
2016-10-31,59.26
2016-11-01,60.01
2016-11-02,57.7
2016-11-03,53.53
2016-11-04,54.65
2016-11-07,56.91
2016-11-08,57.86
2016-11-09,63.85
2016-11-10,65.19
2016-11-11,65.91
2016-11-14,67.88
2016-11-15,67.8
2016-11-16,59.65
2016-11-17,55.32
2016-11-18,54.59
2016-11-21,56.86
2016-11-22,56.0
2016-11-23,56.87
2016-11-25,57.21
2016-11-28,57.67
2016-11-29,52.42
2016-11-30,52.7
2016-12-01,53.1
2016-12-02,53.61
2016-12-05,53.56
2016-12-06,53.72
2016-12-07,51.36
2016-12-08,52.35
2016-12-09,52.6
2016-12-12,52.04
2016-12-13,53.04
2016-12-14,52.72
2016-12-15,52.07
2016-12-16,53.68
2016-12-19,53.38
2016-12-20,53.16
2016-12-21,52.43
2016-12-22,52.03
2016-12-23,53.18
2016-12-27,51.77
2016-12-28,49.69
2016-12-29,49.51
2016-12-30,49.82
2017-01-03,51.73
2017-01-04,53.19
2017-01-05,53.83
2017-01-06,52.75
2017-01-09,53.55
2017-01-10,53.75
2017-01-11,50.44
2017-01-12,51.62
2017-01-13,50.64
2017-01-17,49.42
2017-01-18,46.53
2017-01-19,48.12
2017-01-20,46.08
2017-01-23,45.64
2017-01-24,46.21
2017-01-25,47.09
2017-01-26,46.55
2017-01-27,47.07
2017-01-30,46.45
2017-01-31,48.73
2017-02-01,48.99
2017-02-02,49.7
2017-02-03,49.33
2017-02-06,50.68
2017-02-07,50.23
2017-02-08,49.42
2017-02-09,49.06
2017-02-10,49.27
2017-02-13,49.73
2017-02-14,51.14
2017-02-15,52.5
2017-02-16,52.5
2017-02-17,54.74
2017-02-21,54.11
2017-02-22,54.21
2017-02-23,54.47
2017-02-24,53.38
2017-02-27,54.6
2017-02-28,52.42
2017-03-01,51.55
2017-03-02,51.95
2017-03-03,51.89
2017-03-06,51.26
2017-03-07,49.71
2017-03-08,50.17
2017-03-09,49.56
2017-03-10,49.39
2017-03-13,49.24
2017-03-14,47.98
2017-03-15,48.59
2017-03-16,47.95
2017-03-17,46.9
2017-03-20,46.44
2017-03-21,44.05
2017-03-22,42.54
2017-03-23,43.18
2017-03-24,43.09
2017-03-27,44.33
2017-03-28,44.33
2017-03-29,45.57
2017-03-30,45.39
2017-03-31,44.57
2017-04-03,44.12
2017-04-04,43.9
2017-04-05,44.18
2017-04-06,44.57
2017-04-07,45.02
2017-04-10,44.82
2017-04-11,43.62
2017-04-12,44.3
2017-04-13,44.16
2017-04-17,44.46
2017-04-18,43.85
2017-04-19,44.48
2017-04-20,44.93
2017-04-21,43.52
2017-04-24,44.45
2017-04-25,45.91
2017-04-26,46.19
2017-04-27,46.38
2017-04-28,46.92
2017-05-01,46.69
2017-05-02,46.84
2017-05-03,44.85
2017-05-04,45.8
2017-05-05,46.63
2017-05-08,45.66
2017-05-09,44.55
2017-05-10,45.14
2017-05-11,46.07
2017-05-12,46.79
2017-05-15,46.78
2017-05-16,44.83
2017-05-17,42.37
2017-05-18,40.87
2017-05-19,41.05
2017-05-22,40.04
2017-05-23,39.86
2017-05-24,40.24
2017-05-25,41.0
2017-05-26,43.28
2017-05-30,43.67
2017-05-31,43.13
2017-06-01,43.66
2017-06-02,42.65
2017-06-05,40.49
2017-06-06,40.08
2017-06-07,39.63
2017-06-08,40.19
2017-06-09,40.29
2017-06-12,41.49
2017-06-13,43.16
2017-06-14,42.15
2017-06-15,41.94
2017-06-16,41.7
2017-06-19,43.64
2017-06-20,43.31
2017-06-21,45.37
2017-06-22,45.37
2017-06-23,46.32
2017-06-26,46.24
2017-06-27,44.89
2017-06-28,45.22
2017-06-29,44.41
2017-06-30,44.81
2017-07-03,45.31
2017-07-05,45.22
2017-07-06,43.02
2017-07-07,42.64
2017-07-10,41.86
2017-07-11,43.05
2017-07-12,44.1
2017-07-13,44.59
2017-07-14,44.51
2017-07-17,45.55
2017-07-18,44.59
2017-07-19,44.87
2017-07-20,46.71
2017-07-21,47.42
2017-07-24,47.14
2017-07-25,47.42
2017-07-26,46.43
2017-07-27,46.6
2017-07-28,45.9
2017-07-31,45.8
2017-08-01,44.51
2017-08-02,43.57
2017-08-03,41.62
2017-08-04,41.02
2017-08-07,40.93
2017-08-08,38.19
2017-08-09,37.72
2017-08-10,37.04
2017-08-11,36.52
2017-08-14,35.67
2017-08-15,35.63
2017-08-16,35.94
2017-08-17,36.36
2017-08-18,36.39
2017-08-21,36.13
2017-08-22,37.12
2017-08-23,37.21
2017-08-24,38.25
2017-08-25,39.01
2017-08-28,38.98
2017-08-29,39.14
2017-08-30,39.37
2017-08-31,41.08
2017-09-01,41.17
2017-09-05,36.12
2017-09-06,36.28
2017-09-07,35.16
2017-09-08,35.33
2017-09-11,36.8
2017-09-12,36.45
2017-09-13,35.64
2017-09-14,35.21
2017-09-15,34.27
2017-09-18,33.76
2017-09-19,34.07
2017-09-20,34.49
2017-09-21,34.86
2017-09-22,34.83
2017-09-25,35.25
2017-09-26,34.67
2017-09-27,35.39
2017-09-28,36.14
2017-09-29,37.37
2017-10-02,38.87
2017-10-03,37.59
2017-10-04,37.36
2017-10-05,35.5
2017-10-06,35.81
2017-10-09,35.72
2017-10-10,35.76
2017-10-11,35.69
2017-10-12,34.73
2017-10-13,33.29
2017-10-16,32.28
2017-10-17,32.36
2017-10-18,32.16
2017-10-19,32.82
2017-10-20,32.42
2017-10-23,30.79
2017-10-24,31.06
2017-10-25,31.3
2017-10-26,31.05
2017-10-27,30.71
2017-10-30,30.82
2017-10-31,31.67
2017-11-01,32.06
2017-11-02,30.47
2017-11-03,30.88
2017-11-06,31.18
2017-11-07,20.11
2017-11-08,19.98
2017-11-09,22.2
2017-11-10,21.76
2017-11-13,21.9
2017-11-14,21.72
2017-11-15,21.91
2017-11-16,22.45
2017-11-17,22.38
2017-11-20,21.81
2017-11-21,21.39
2017-11-22,21.37
2017-11-24,21.22
2017-11-27,21.76
2017-11-28,21.92
2017-11-29,22.13
2017-11-30,21.82
2017-12-01,21.82
2017-12-04,21.96
2017-12-05,21.73
2017-12-06,21.35
2017-12-07,21.25
2017-12-08,22.3
2017-12-11,23.14
2017-12-12,24.06
2017-12-13,23.86
2017-12-14,23.11
2017-12-15,23.36
2017-12-18,23.7
2017-12-19,23.11
2017-12-20,23.33
2017-12-21,23.57
2017-12-22,23.32
2017-12-26,23.48
2017-12-27,23.28
2017-12-28,22.8
2017-12-29,22.56
